name,stage,employees,raised,year_founded,hq_city,tech_vertical,reg_number,website,notes,description
FUSE Autotech,Acquired,11-50,$10M,,,,,,,Finance Management Platform for Car Dealerships
Ovo Automotive,Seed,1-10,$3.5M,2019,Tel Aviv,"Automotive, Cloud, SaaS",515994838,https://ovo.auto,Presumed Inactive,presumed   Cloud-based App Delivery Platform for Connected Vehicles
Vulcan,Mature,1-10,Undisclosed,,,,,,,Automotive Industries Nanotechnology- enhanced Lead-acid Batteries
Arkal Automotive,Acquired,201-500,Undisclosed,,,,,,,Plastic Components for Cars
Axilion Smart,Public,11-50,$24M,2009,Tel Aviv,"Artificial Intelligence, Automotive, Climate Tech, IoT, SaaS, Smart City",520038548,https://axilion.com,,Mobility AI-based City-wide Traffic Management SaaS Offerings
i4drive,Seed,1-10,$2M,2014,Modiin-Maccabim-Reut,"Artificial Intelligence, Automotive, Insurtech, IoT, Machine Learning, Machine Vision, Smart City",515108264,https://i4drive.com,,
Iguazio,Acquired,51-200,$72M,,,,,,,Machine-learning Operations Platform
Auto Cool,Mature,11-50,Undisclosed,,,,,,,Automotive Air Conditioning Systems
Auto3P,Mature,51-200,Undisclosed,2000,Baar,"Automotive, Insurtech",513110742,https://auto3p.com,,Cloud-based Automotive Repair Management
Autoboom,Pre-Seed,1-10,$500K,,,,,,,Platform for Buying and Selling Vehicles Online CYMOTIVE Pre- 51-200 Undisclosed Technologies Funding
MIA Dynamics,Public,11-50,Undisclosed,2020,Tel Aviv,"Automotive, Defense Tech",516243284,http://www.miadynamics.com,,Quad-wheel Platform
Moovex,Acquired,11-50,$1.25M,,,,,,,Transportation Management and Optimization Platform
UVeye,D,201-500,$239.6M,2016,Teaneck,"Artificial Intelligence, Automotive, Deep Tech, Industry 4.0, Machine Learning, Machine Vision",514234202,https://www.uveye.com,,Under-vehicle Inspection System
AutoFleet,Acquired,51-200,$29.5M,,,,,,,Optimization Platform for Fleets Green Fleet Pre- 1-10 Undisclosed Cloud-based Mass Funding
Airwayz Drones,Seed,11-50,Undisclosed,2018,Tel Aviv,"Artificial Intelligence, Automotive, Cloud, Defense Tech, Drones, Smart City",516010386,https://www.airwayz.co,,The Sovereign Operating System for Modern Airspace Control
ArrowSpot,Mature,11-50,Undisclosed,,,,,,,Software for Monitoring Cargo throughout the Supply Chain
Atero AI,Acquired,11-50,$12M,,,,,,,
AtlasCT,Mature,1-10,Undisclosed,,,,,,,Mapping Technology
Autonomy AI,Pre-Seed,11-50,$4M,,,,,,,Autonomous AI Agents Into Development Teams
Bluewhite,C,51-200,$89.7M,,,,,,,Autonomous Platform for Off-road Operations
Cando Drones,Seed,11-50,$100K,,,,,,,Drone Technology System
CaPow,A,11-50,$23.5M,2018,Beer Sheva,"Automotive, Deep Tech, Industry 4.0, Robotics",515918035,https://capow.energy,,Technologies Continuous Power for Robots
Captain's Eye,Pre-Seed,11-50,$4M,,,,,,,"Advanced Maritime Safety, Security, and Management System"
Cervello,Seed,11-50,$19.5M,2018,Tel Aviv,"Artificial Intelligence, Automotive, Cyber Security, IoT",515814770,https://cervello.security,,Railway Cybersecurity Solution Ciconia Pre- 1-10 Undisclosed Solving airspace Funding deconfliction for mixed
CogniTeam,A,11-50,$9.8M,,,,,,,AI and Cloud-based Robot Programming and Automation System
Commcrete,A,11-50,$28.37M,,,,,,,Narrow-Band Satellite Connectivity Solutions
CorrActions,A,11-50,$10.95M,2019,Jerusalem,"Artificial Intelligence, Automotive, Deep Tech",515999761,https://corractions.com,,Noninvasive Driver- monitoring Platform
Crispify,Pre-Seed,1-10,$700K,,,,,,,Automotive In-cabin Air Quality and User Experience Management System CyWhale Pre- 1-10 Undisclosed
deliverz.ai,Seed,1-10,$3.6M,,,,,,,Orchestration Software For Healthcare Robotic Logistics
Demandoo,Seed,1-10,Undisclosed,,,,,,,Insurance Global On-demand Insurance Solutions
Driivz,Acquired,51-200,$23.1M,,,,,,,Electric Vehicle Charging and Energy Management Solution
DriveU.auto,Seed,11-50,$4M,2019,Raanana,"Artificial Intelligence, Automotive, Cloud, Robotics",516090842,https://driveu.auto,,"Autonomous Terminal Tractor Retrofit Kit Teleoperation for Robots, AVs & Defense application"
E-Drive,Mature,11-50,Undisclosed,,,,,,,Technology Fleet Monitoring and Fuel Management Systems E-square Pre- 1-10 Undisclosed
Electreon,Public,51-200,$64.82M,2013,Beit Yanai,"Automotive, Climate Tech, Construction Tech, Smart City",520038126,http://www.electreon.com,,In-road Wireless Charging for Electric Vehicles
Elssway,Pre-Seed,1-10,$1.65M,,,,,,,Wireless and Wired Charging Platform For Light Electric Vehicle Fleets
Enervibe,A,11-50,$4.1M,2016,Airport City,"Automotive, Climate Tech, Deep Tech, Industry 4.0, IoT",515859809,https://enervibe.co,,Energy Harvesting Solutions
Enigmatos,Mature,11-50,Undisclosed,2017,Yavne,"Artificial Intelligence, Automotive, Big Data, Cloud, Cyber Security, IoT, Machine Learning",515312825,https://www.enigmatos.com,,Automotive
Gasngo,Mature,11-50,$12M,2005,Tel Aviv,Automotive,515420180,https://gasngo.com,,Fuel and Fleet Control and Management Gett F 500+ $708M Ground Travel Platform for Businesses
Gloat,D,51-200,$186.4M,,,,,,,AI-based Career Development Platform
GreenRoad,Mature,51-200,$98.9M,2004,Austin,"Artificial Intelligence, Automotive, IoT",513524587,https://greenroad.com,,Technologies Fleet Management Solution
High Lander,A,51-200,$17M,,,,,,,Drone Fleet Management and Unmanned Traffic Management
Hoopo,A,51-200,$15.02M,2016,Kibbutz Glil-Yam,"Artificial Intelligence, Automotive, Deep Tech, Industry 4.0, IoT",515326452,https://www.hoopo.tech,,Asset Intelligence Platform
Loginno,Mature,1-10,$100K,,,,,,,Shipping Container Tracking System
Make My Day,A,11-50,$5.5M,2017,Tel Aviv,"Artificial Intelligence, Automotive, Big Data, Climate Tech, Machine Learning, SaaS",515651545,https://makemydayapp.com,,Real-Time Optimization Software for Electric Vehicle Fleet Operations
Micronet,Public,51-200,$4M,,,,,,,Fleet Integration and Workforce Management Solutions
Mida Computers,Mature,11-50,Undisclosed,,,,,,,Software Solutions for Enterprise Planning and Management
CloudEndure,Acquired,1-10,$18.2M,,,,,,,Cloud Migration and Disaster Recovery
IRP Systems,C,51-200,$57M,2015,Ness Ziona,"Automotive, Deep Tech",514092758,https://www.irpsystems.com,,Electric Powertrain Solutions
A2Z Advanced,Public,1-10,$55.91M,,,,,,,Solutions Retail Smart Cart Solutions
CEVA,Public,201-500,$48.1M,1999,Rockville,"Artificial Intelligence, Automotive, Gaming, Industry 4.0, IoT, Machine Learning, Machine Vision, Metaverse, Robotics",512872854,https://www.ceva-ip.com,,Signal-processing Platform and AI Processors GorillaLink Pre- 1-10 Undisclosed
Maris-Tech,Public,11-50,$19.8M,,,,,,,High-performance Video and Audio Applications
Nano Dimension,Public,201-500,$1.6B,,,,,,,3D Printing and AI Integration in Electronics Manufacturing
Payton Planar,Public,11-50,Undisclosed,,,,,,,Lightweight Power Transformers
